trace_id,t,throughput_kbps
sweden_1262,21,584.0
sweden_1263,0,3947.84
sweden_1263,1,4578.5599999999995
sweden_1263,2,4625.280000000001
sweden_1263,3,4508.4800000000005
sweden_1263,4,4870.5599999999995
sweden_1263,5,3095.2
sweden_1263,6,6120.320000000001
sweden_1263,7,4333.280000000001
sweden_1263,8,3468.96
sweden_1263,9,5337.76
sweden_1263,10,4298.24
sweden_1263,11,4228.16
sweden_1263,12,4380.0
sweden_1263,13,4718.719999999999
sweden_1263,14,4520.16
sweden_1263,15,4648.64
sweden_1263,16,4695.36
sweden_1263,17,4847.2
sweden_1263,18,4788.8
sweden_1263,19,4601.92
sweden_1263,20,4321.599999999999
sweden_128,0,14646.720000000001
sweden_128,1,21397.760000000002
sweden_128,2,21280.96
sweden_128,3,20708.64
sweden_128,4,21234.239999999998
sweden_128,5,20802.079999999998
sweden_128,6,20907.2
sweden_128,7,20112.96
sweden_128,8,21292.64
sweden_128,9,21619.68
sweden_128,10,18851.52
sweden_1284,0,6225.4400000000005
sweden_1284,1,7977.44
sweden_1284,2,8479.68
sweden_1284,3,8082.56
sweden_1284,4,7848.960000000001
sweden_1284,5,9227.2
sweden_1284,6,9262.24
sweden_1284,7,9822.880000000001
sweden_1284,8,9846.24
sweden_1284,9,10640.48
sweden_1284,10,11785.119999999999
sweden_1284,11,12415.84
sweden_1284,12,14284.64
sweden_1284,13,17613.44
sweden_1284,14,17263.04
sweden_1284,15,17403.2
sweden_1284,16,17403.2
sweden_1284,17,17438.239999999998
sweden_1284,18,17566.72
sweden_1284,19,18080.64
sweden_1284,20,18174.079999999998
sweden_1284,21,3153.6
sweden_1285,0,4333.280000000001
sweden_1285,1,7194.88
sweden_1285,2,8246.08
sweden_1285,3,8760.0
sweden_1285,4,9717.76
sweden_1285,5,10955.84
sweden_1285,6,14296.320000000002
sweden_1285,7,17835.36
sweden_1285,8,18092.32
sweden_1285,9,18068.96
sweden_1285,10,17893.760000000002
sweden_1285,11,18033.920000000002
sweden_1285,12,18045.6
sweden_1285,13,18267.52
sweden_1285,14,16176.8
sweden_1285,15,19528.96
sweden_1285,16,18337.6
sweden_1285,17,18010.56
sweden_1285,18,17975.52
sweden_1285,19,18104.0
sweden_1285,20,17613.44
sweden_1285,21,15814.720000000001
sweden_1286,0,12322.4
sweden_1286,1,17543.36
sweden_1286,2,18010.56
sweden_1286,3,18045.6
sweden_1286,4,18185.760000000002
sweden_1286,5,18162.4
sweden_1286,6,15651.2
sweden_1286,7,15651.2
sweden_1286,8,11796.8
sweden_1286,9,12707.84
sweden_1286,10,13011.52
sweden_1286,11,13198.4
sweden_1286,12,14319.679999999998
sweden_1286,13,15137.279999999999
sweden_1286,14,15137.279999999999
sweden_1286,15,16971.04
sweden_1286,16,17613.44
sweden_1286,17,17695.2
sweden_1286,18,17391.52
sweden_1286,19,17379.84
sweden_1286,20,15855.6
