trace_id,t,throughput_kbps
italy_1271,3,31851.359999999997
italy_1271,4,31746.24
italy_1271,5,31127.2
italy_1271,6,27856.8
italy_1271,7,28978.079999999998
italy_1271,8,31617.76
italy_1271,9,31524.32
italy_1271,10,31781.28
italy_1271,11,31571.04
italy_1271,12,31839.68
italy_1271,13,31909.76
italy_1271,14,31652.8
italy_1271,15,31220.640000000003
italy_1271,16,31454.24
italy_1271,17,31477.6
italy_1271,18,31687.840000000004
italy_1271,19,31956.48
italy_1271,20,29550.4
italy_1292,0,10243.36
italy_1292,1,13315.2
italy_1292,2,7860.639999999999
italy_1292,3,5723.2
italy_1292,4,5197.6
italy_1292,5,5804.96
italy_1292,6,5337.76
italy_1292,7,5933.4400000000005
italy_1292,8,5080.8
italy_1292,9,5991.84
italy_1292,10,5559.68
italy_1292,11,4099.68
italy_1292,12,5477.92
italy_1292,13,7019.68
italy_1292,14,5396.16
italy_1292,15,5512.96
italy_1292,16,5793.280000000001
italy_1292,17,5139.2
italy_1292,18,5851.68
italy_1292,19,5337.76
italy_1292,20,5256.0
italy_1293,0,6470.719999999999
italy_1293,1,10617.119999999999
italy_1293,2,12719.52
italy_1293,3,6552.4800000000005
italy_1293,4,5980.16
italy_1293,5,4940.64
italy_1293,6,6482.4
italy_1293,7,4882.24
italy_1293,8,6202.08
italy_1293,9,4928.96
italy_1293,10,5863.36
italy_1293,11,5045.76
italy_1293,12,6330.5599999999995
italy_1293,13,5174.24
italy_1293,14,5898.4
italy_1293,15,5466.24
italy_1293,16,5279.36
italy_1293,17,5910.08
italy_1293,18,5115.84
italy_1293,19,5921.76
italy_1293,20,5139.2
italy_1294,0,6073.6
italy_1294,1,8176.0
italy_1294,2,10056.48
italy_1294,3,11773.439999999999
italy_1294,4,6167.04
italy_1294,5,5419.5199999999995
italy_1294,6,5956.8
italy_1294,7,5629.76
italy_1294,8,5431.2
italy_1294,9,5629.76
italy_1294,10,4403.36
italy_1294,11,6657.6
italy_1294,12,5220.96
italy_1294,13,5910.08
italy_1294,14,5314.4
italy_1294,15,5863.36
italy_1294,16,5267.68
italy_1294,17,5945.12
italy_1294,18,5302.719999999999
italy_1294,19,5664.8
italy_1294,20,5372.8
italy_1295,0,7405.12
italy_1295,1,11037.6
italy_1295,2,13221.76
italy_1295,3,5162.5599999999995
italy_1295,4,5758.24
italy_1295,5,5477.92
italy_1295,6,5781.6
italy_1295,7,5057.4400000000005
italy_1295,8,5886.719999999999
italy_1295,9,5442.88
italy_1295,10,5758.24
italy_1295,11,5489.6
italy_1295,12,5337.76
italy_1295,13,5676.4800000000005
italy_1295,14,5746.5599999999995
italy_1295,15,5291.04
italy_1295,16,5583.04
italy_1295,17,5723.2
italy_1295,18,5162.5599999999995
italy_1295,19,5933.4400000000005
italy_1295,20,3971.2
italy_1322,0,7884.0
italy_1322,1,11247.84
italy_1322,2,14763.52
italy_1322,3,17006.079999999998
italy_1322,4,20089.6
italy_1322,5,24072.48
italy_1322,6,30192.8
italy_1322,7,31150.559999999998
italy_1322,8,31606.079999999998
italy_1322,9,31500.96
italy_1322,10,30846.879999999997
italy_1322,11,31057.120000000003
italy_1322,12,31208.96
italy_1322,13,31594.4
italy_1322,14,30671.68
italy_1322,15,31255.68
italy_1322,16,30519.840000000004
italy_1322,17,31465.920000000002
italy_1322,18,31617.76
italy_1322,19,31162.24
italy_1322,20,30718.4
italy_1323,0,15721.280000000002
italy_1323,1,24598.08
italy_1323,2,27506.4
italy_1323,3,30239.52
italy_1323,4,31641.120000000003
italy_1323,5,31524.32
italy_1323,6,31571.04
italy_1323,7,31769.6
italy_1323,8,31851.359999999997
italy_1323,9,31839.68
italy_1323,10,31594.4
italy_1323,11,31641.120000000003
italy_1323,12,31582.72
italy_1323,13,31734.559999999998
italy_1323,14,31524.32
italy_1323,15,31594.4
italy_1323,16,31898.079999999998
italy_1323,17,31757.920000000002
italy_1323,18,31769.6
italy_1323,19,31804.640000000003
italy_1323,20,23905.066666666666
italy_1324,0,9682.72
italy_1324,1,13081.6
italy_1324,2,16013.279999999999
italy_1324,3,19015.04
italy_1324,4,21946.72
italy_1324,5,25182.079999999998
italy_1324,6,28908.0
italy_1324,7,31734.559999999998
italy_1324,8,31547.68
italy_1324,9,31244.0
italy_1324,10,31757.920000000002
